,userid,number_of_courses,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt
0,64.0,6.0,60.48333333333333,28.0,4.0,24.0,7.166666666666667,5.5,5.333333333333333,6.833333333333333,1.6666666666666667,1.5,213.66666666666663,0.3333333333333333,0.1666666666666666,2.6666666666666665,0.0,2.833333333333333,0.6666666666666666,1.3333333333333333
1,65.0,6.0,53.65,14.666666666666666,0.8333333333333334,13.833333333333334,4.833333333333333,2.5,2.333333333333333,4.166666666666667,0.3333333333333333,0.5,40.16666666666666,0.1666666666666666,0.1666666666666666,1.8333333333333333,0.0,1.5,0.8333333333333334,1.8333333333333333
2,66.0,7.0,67.5142857142857,21.0,3.4285714285714284,17.571428571428573,9.0,4.428571428571429,1.7142857142857142,5.428571428571429,0.1428571428571428,0.2857142857142857,215.42857142857144,0.0,0.0,4.142857142857143,0.2857142857142857,0.4285714285714285,0.1428571428571428,0.1428571428571428
3,67.0,6.0,71.56666666666666,19.166666666666668,2.5,16.666666666666668,6.333333333333333,2.6666666666666665,1.6666666666666667,7.833333333333333,0.3333333333333333,0.3333333333333333,99.83333333333331,1.6666666666666667,0.0,6.0,0.3333333333333333,0.0,0.0,0.0
4,68.0,7.0,85.78285714285714,29.0,5.0,24.0,12.142857142857142,5.571428571428571,3.571428571428572,7.0,0.7142857142857143,0.0,137.28571428571428,2.571428571428572,1.2857142857142858,6.0,0.2857142857142857,0.2857142857142857,0.0,0.0
5,69.0,6.0,74.65833333333333,41.16666666666666,6.5,34.666666666666664,18.33333333333333,7.666666666666667,4.5,9.5,0.6666666666666666,0.5,190.83333333333331,2.6666666666666665,0.6666666666666666,4.166666666666667,0.0,0.3333333333333333,0.0,0.0
6,70.0,6.0,0.5,11.333333333333334,1.1666666666666667,10.166666666666666,4.5,2.1666666666666665,0.6666666666666666,3.1666666666666665,0.3333333333333333,0.5,66.66666666666667,0.0,0.0,2.333333333333333,0.0,0.0,0.0,0.0
7,71.0,6.0,74.7,29.0,7.5,21.5,9.333333333333334,7.333333333333333,1.6666666666666667,8.0,1.8333333333333333,0.8333333333333334,98.83333333333331,0.0,0.0,3.6666666666666665,0.1666666666666666,0.0,0.0,0.0
8,74.0,6.0,87.39999999999999,38.833333333333336,7.333333333333333,31.5,14.333333333333334,10.333333333333334,5.0,7.833333333333333,0.3333333333333333,1.0,189.66666666666663,0.0,0.0,4.166666666666667,0.3333333333333333,0.0,0.0,0.0
9,122.0,8.0,72.125,14.25,1.375,12.875,5.5,3.375,2.5,2.25,0.125,0.5,79.0,0.0,0.0,1.125,0.25,0.625,0.125,2.375
